sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_HCHL	p_fitness_adj_CO2_30percent	p_fitness_adj_HCHL	impact_score
amiA2	slr0891	amiA	N-acetylmuramoyl-L-alanine amidase	-0.8464124281548348	-0.296202611635582	0.19000563603671725	0.4455700587322807	-0.38905709233616975
amiA3	slr1744	amiA	N-acetylmuramoyl-L-alanine amidase;  periplasmic protein	-4.907916269458227	-0.13363266329233703	0.19000563603671725	0.72043285480211	-3.3759283132276643
amiA	slr1910	amiA	probable N-acetylmuramoyl-L-alanine amidase	-1.877373384357124	-0.3336634059156848	0.48928840640055	0.988029252035692	-1.0915677939412807
amiC	slr0447	urtA	periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein	0.7946546376149696	0.6076714585327592	0.8624632381404762	0.9575812911341901	0.13221707389684959
ams1	slr0323	ams1	putative alpha-mannosidase	0.25698499648789364	0.3287159238575404	0.7324131804450047	0.978907854723714	-0.05072142516387694
amt1	sll0108	amt1	ammonium/methylammonium permease	1.8875588703979171	-0.9289359096764089	0.00872410061899529	0.0042112226307496874	1.9915625581670697
amt2	sll1017	amt2	ammonium/methylammonium permease	0.3587803184191823	0.13174441231525236	0.3178048046721386	0.6892156628601628	0.1605386287789211
amt3	sll0537	amt3	ammonium/methylammonium permease	0.2736045675794419	0.25042615340873137	0.9190642338250596	0.1468265233264971	0.016389613837259787
ank	slr1109	ank	similar to ankyrin	0.3440046427540958	-0.03255642277154993	0.2871038646357691	0.8028815423590938	0.26626888296401596
apcA	slr2067	apcA	allophycocyanin alpha subunit	-2.1312423300031025	1.6889347230653704	0.012227041170706682	0.004020937266418331	-2.7012730995579584
apcB	slr1986	apcB	allophycocyanin beta subunit	-0.39851779240161805	1.3683171297340742	0.594324564040631	0.004020937266418331	-1.2493409546793537
apcC	ssr3383	apcC	phycobilisome small core linker polypeptide	0.6951488731023417	0.5135655483853807	0.16704207473650773	0.010524080412043791	0.12839880025776196
apcD	sll0928	apcD	allophycocyanin-B	-0.05751221910629161	0.23973344565445623	0.6652586483325006	0.10506163556355008	-0.21018442523062794
apcE	slr0335	apcE	phycobilisome core-membrane linker polypeptide	0.2077443414545777	0.8731792145296878	0.6984100208815922	0.004202174557852471	-0.47053351118941983
apcF	slr1459	apcF	phycobilisome core component	0.7280138247849999	-0.15972374438046916	0.13092199202511332	0.2627170541737136	0.6277252550709648
ape2	sll1343	ape2	aminopeptidase	-1.0990556251592416	-2.2821698936030104	0.5217432202413865	0.1468265233264971	0.8365881221351502
apqZ	slr2057	apqZ	water channel protein	0.04495415343041718	-0.2310032130964823	0.8010213373011333	0.13432308221621178	0.1951313251895522
apt	sll1430	apt	adenine phosphoribosyltransferase	0.0605683171199761	0.2517111812542759	0.5602916101530038	0.25807946741879095	-0.1351584154047823
arcC	sll0573	arcC	carbamate kinase	0.0029434192237855423	-1.0200571241085854	0.8010213373011333	0.9575812911341901	0.723370621347842
argB	slr1898	argB	N-acetylglutamate kinase	-2.7310022077734115	-3.1992975261613528	0.009809899642329289	0.0042112226307496874	0.33113479523002654
argC	sll0080	argC	N-acetyl-gamma-glutamyl-phosphate reductase	0.28824268746385534	-1.254983489345121	0.7708972345456213	0.006321321647018113	1.091225694526217
argD	slr1022	argD	N-acetylornithine aminotransferase	-2.045079130520255	-2.773487094587771	0.02303330397334184	0.004818870385640113	0.5150622108624278
argF	sll0902	argF	ornithine carbamoyltransferase	0.49628507490166324	-1.2639466223935547	0.48928840640055	0.15481766660821547	1.2446717696169547
argG	slr0585	argG	argininosuccinate synthetase	-1.203683070168237	-0.8337692660547023	0.2657783821366908	0.6265091551537586	-0.2615685593431926
argH	slr1133	argH	L-argininosuccinate lyase	-2.3768179017856763	-1.3732792278037687	0.5217432202413865	0.7262132217886004	-0.7096090015555628
argJ	sll1883	argJ	arginine biosynthesis bifunctional protein ArgJ	-0.35542085487663094	-1.769546704207628	0.6984100208815922	0.1468265233264971	0.9999379775131341
argS	sll0502	argS	arginyl-tRNA-synthetase	-3.3431650512722464	-1.607135981370521	0.014165882177057623	0.2940958014764812	-1.2275579276644848
aroA	slr0444	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	-1.9270976150251853	-3.592666740659377	0.3811252389316491	0.043406192680143146	1.1777352232708855
aroB	slr2130	aroB	3-dehydroquinate synthase	-2.8707454007618782	-1.7950475798219039	0.019602630199945976	0.09185616148858419	-0.7606332236942484
aroC	sll1747	aroC	chorismate synthase	-2.2037594237697116	-2.931814454118657	0.19000563603671725	0.013543432460599034	0.514812649036717
aroE	slr1559	aroE	shikimate 5-dehydrogenase	-1.5239751641702148	-1.1709532840175318	0.019602630199945976	0.17156088100323777	-0.2496241653631868
aroH	sll0109	aroH	chorismate mutase	-2.4170079442655292	-0.6440950940257527	0.13092199202511332	0.527387412164371	-1.253638698857316
aroK	sll1669	aroK	shikimate kinase	-2.5823553702571607	-2.8473648541619574	0.07597918091405867	0.08162941076331037	0.18739000314782897
aroQ	sll1112	aroQ	3-dehydroquinate dehydratase	-1.4014190588980786	-0.49624736303405836	0.019602630199945976	0.42489288153327165	-0.6400530442835759
arsA	sll1957	arsA	transcriptional regulator	-0.32712409235813567	-0.6612666652228251	0.8010213373011333	0.25369606677924234	0.23627447915574193
arsC	slr0946	arsC	arsenate reductase	0.08800111016656609	0.27691581384281616	0.9190642338250596	0.2940958014764812	-0.13358286803532363
asd	slr0549	asd	aspartate beta-semialdehyde dehydrogenese	-1.8641587634991617	-0.7254054444067527	0.016428079366291867	0.7853048391346065	-0.8052201940289306
aslB	sll1766	aslB	hypothetical protein	-0.15489560354235588	0.11131354559059427	0.594324564040631	0.8618620754825115	-0.18823829456580995
asnS	sll0495	asnS	asparaginyl-tRNA synthetase	-1.235618798110053	0.058005126288626405	0.2871038646357691	0.8538209956217918	-0.9147302492474598
aspA	slr1705	aspA	aspartoacylase	-0.0734514277473948	0.10336168631779864	0.34672092298393176	0.8618620754825115	-0.1250257519582088
aspC2	sll0402	aspC	aspartate aminotransferase	-3.3388299545667404	-2.687242419522657	0.00872410061899529	0.004020937266418331	-0.4607419645662985
aspC3	slr0036	aspC	aspartate aminotransferase	-0.13149378947480034	0.1893761375518969	0.7708972345456213	0.8195156006182487	-0.22688930127941026
aspC	sll0006	aspC	putative aminotransferase	-1.2158850037022242	-0.7135470787290404	0.019602630199945976	0.017500250006701273	-0.35520655319571737
aspS	slr1720	aspS	aspartyl-tRNA synthetase	-3.7565303632269695	-2.5552075432260737	0.00872410061899529	0.009794028569654539	-0.8494635124167796
atp1	sll1321	atp1	hypothetical protein	-1.874408049200505	-5.0533686852684845	0.046238987532981564	0.004020937266418331	2.247864622888769
atpA	sll1326	atpA	ATP synthase alpha chain	-1.4357709660128808	-5.24514620280668	0.14692368791880397	0.004020937266418331	2.6936350620210052
atpB	slr1329	atpB	ATP synthase beta subunit	-2.7280371534622185	-7.261775561493764	0.011007797784977914	0.004020937266418331	3.205837172445008
atpC	sll1327	atpC	ATP synthase gamma chain	-2.930400169621217	-3.656929547033764	0.00872410061899529	0.004020937266418331	0.5137338494996523
atpD	sll1325	atpD	ATP synthase delta chain of CF(1)	-2.2591067552537534	-6.497496500135417	0.11635175242516728	0.004020937266418331	2.9969941299173453
atpE	slr1330	atpE	ATP synthase epsilon chain of CF(1)	-5.497237274962288	-3.600550275685848	0.009038483826191542	0.06807135383634881	-1.3411602389767348
atpF	sll1324	atpF	ATP synthase B chain (subunit I) of CF(0)	-2.3042972711595535	-6.10591749036522	0.009809899642329289	0.004020937266418331	2.688151436496216
atpG	sll1323	atpG	ATP synthase subunit b' of CF(0)	-1.8881755315324005	-4.703147638400692	0.009038483826191542	0.004020937266418331	1.9904858656175513
atpH	ssl2615	atpH	ATP synthase C chain of CF(0)	-0.9210683393631148	-4.835461300710303	0.19000563603671725	0.004020937266418331	2.767893807197488
atpI	sll1322	atpI	ATP synthase A chain of CF(0)	-1.8854532310887762	-5.720091583285703	0.012227041170706682	0.004020937266418331	2.7114987822364554
bchB	ssr2049	bchB	unknown protein	-0.04261754348095402	0.13447953651050543	0.8313727550868939	0.7026987350670987	-0.1252265461902974
bchE	slr0905	bchE	Mg-protoporphyrin IX monomethyl ester oxidative cyclase	-0.8470773802851393	-0.5996509608590196	0.11635175242516728	0.8133675238414292	-0.17495689902091618
bcp2	sll0221	bcp	bacterioferritin comigratory protein	0.014921734890289286	-0.8924318160561951	0.9190642338250596	0.34231160737457933	0.6415958488079526
bcp	slr0242	bcp	bacterioferritin comigratory protein homolog	-2.403998782077276	0.05863512644794622	0.00872410061899529	0.9830367249299656	-1.7413451362981163
bfr2	sll1341	bfr	bacterioferritin	0.17148732547129852	0.23243042929245528	0.8010213373011333	0.5956286429268037	-0.04309328197849573
bfr	slr1890	bfr	bacterioferritin	0.11800715645544942	0.10928593905280029	0.9647691158263495	0.7940384519216179	0.006166831965615325
bgl	sll1538	bgl	similar to beta-hexosaminidase a precursor	-1.017165779725068	-0.429300027928692	0.6326011029152486	0.3055402935346264	-0.4156838595225452
bhy	sll1468	crtR	beta-carotene hydroxylase	-1.5700895311751968	0.15926028600998235	0.2657783821366908	0.6892156628601628	-1.2228349827753564
bioB	slr1364	bioB	biotin synthetase	-3.0598087961109837	-2.9875537624348456	0.00872410061899529	0.004020937266418331	-0.05109202428725957
bioF	slr0917	bioF	7-keto-8-aminopelargonic acid synthetase	-4.4175479377090205	-4.770060957967198	0.009038483826191542	0.004020937266418331	0.24926434708110806
bioY	slr1365	bioY	hypothetical protein	-3.0791145593881364	-1.7214394772121366	0.00872410061899529	0.004450270223411904	-0.9600212572546525
birA	sll1655	birA	similar to biotin [acetyl-CoA-carboxylase] liga se	-0.3161497700366408	-0.16198589298536817	0.34672092298393176	0.36607669837438034	-0.10901032287696405
blaOXA-3	slr0319	blaOXA-3	beta-lactamase	0.11730052344097264	0.14074077931617943	0.8927347877322642	0.8584711895836435	-0.01657476388210653
braG_or_livF	sll0374	urtE	urea transport system ATP-binding protein	-1.5082394429082133	-0.9676009644787693	0.8624632381404762	0.6687404736008974	-0.38228913426783684
brkB	slr0119	brkB	hypothetical protein	-1.402041165489881	-1.3565798796425186	0.016428079366291867	0.4374704274085946	-0.032145983504129984
btpA	sll0634	btpA	photosystem I biogenesis protein BtpA	-2.5143203541949215	-0.16500862725289345	0.07597918091405867	0.9510662035735318	-1.6612142532417866
bvdR	slr1784	bvdR	biliverdin reductase	-0.8234487001217221	-0.6519338976920704	0.6984100208815922	0.988029252035692	-0.12127927987187763
cad	sll1683	cad	lysine decarboxylase	0.2422537177728233	-0.12356849842534916	0.8927347877322642	0.9364349138175238	0.258675369782419
capA	slr1764	capA	similar to tellurium resistance protein TerE	0.36010386658562393	-0.03543149727409031	0.4369213053105286	0.8082313271949857	0.27968573798429236
carA	sll1498	carA	carbamoyl-phosphate synthase small chain	-2.456426413676162	-2.9572840934695463	0.009038483826191542	0.004020937266418331	0.35415986179126235
carB	sll0370	pyrA	carbamoyl-phosphate synthase;  pyrimidine-specif ic;  large chain	-4.68677670205656	-3.6886318178441337	0.00872410061899529	0.004020937266418331	-0.7057950162332676
cbaB	sll1869	cbaB	probable dioxygenase;  Rieske iron-sulfur compon ent	-0.20795480631583416	-0.4408878048909536	0.6326011029152486	0.41193541772387504	0.16470850285458336
cbbA	sll0018	fbaA;  fda	fructose-bisphosphate aldolase;  class II	-3.4367041647245804	-3.6141431514000057	0.16704207473650773	0.004020937266418331	0.1254683107250627
cbbZp	sll1349	cbbZp	phosphoglycolate phosphatase	0.4176954041824604	-0.048190933712273905	0.14692368791880397	0.6833931961331212	0.3294313887875338
cbiA	sll1501	cobB	cobyrinic acid a; c-diamide synthase	-1.0914633097416884	-1.0346441126539907	0.6326011029152486	0.267963686191185	-0.04017723956228595
cbiB	slr1925	cobD	cobalamin biosynthesis protein CobD	0.3820430986499254	0.06377256322829061	0.8010213373011333	0.6833931961331212	0.22505125384851124
cbiC	sll0916	cobH	precorrin isomerase;  precorrin-8X methylmutase	-0.635950287582038	-0.7549666608289349	0.6652586483325006	0.9271766257879981	0.08415728459511003
cbiD	slr1538	cbiD	cobalamin biosynthesis protein D	-2.121588949809897	-0.6370452031324239	0.48928840640055	0.1369938139670827	-1.0497309502437253
cbiE	sll0099	cbiE;  cbiT;  cobL	precorrin-6y C5;  15-methyltransferase (decarbox ylating)	-1.376073651351645	-0.2316246154578032	0.6326011029152486	0.34937775990994957	-0.809247674002942
cbiF	slr0239	cobM	precorrin-4 C11-methyltransferase	-1.3399054766438179	-0.9781340272013918	0.02303330397334184	0.029430347965422224	-0.25581104514042574
cbiH	slr0969	cobJ	precorrin methylase	-1.111354164992801	-2.0959296718591633	0.046238987532981564	0.021166185909251553	0.696200017495387
cbiL	slr1879	cobI	precorrin-2 methyltransferase	-0.5485760119457329	-0.4838549685773959	0.594324564040631	0.5956286429268037	-0.04576468865121972
cbiM	sll0383	cbiM	cobalamin biosynthesis protein M	-0.2015979503259874	-0.09245106499337077	0.19000563603671725	0.954877726251999	-0.07717850276408374
cbiP	slr0618	cobQ	cobyric acid synthase	-0.049522279507094265	-1.1986124072732163	0.7708972345456213	0.8488452633722676	0.8125294215379412
cbiT	slr1368	cobL	precorrin decarbocylase	-3.015555411419691	0.06445020820131887	0.011007797784977914	0.745783530021352	-2.1778928597266902
ccmA	sll0934	ccmA	carboxysome formation protein CcmA	-2.239679111611994	-4.4425891273102485	0.05405695937378547	0.047799316603135765	1.5576926104439994
ccmK2	sll1028	ccmK2	carbon dioxide concentrating mechanism protein CcmK	-0.6261499439011438	-0.32987641152404196	0.03851561305067935	0.038022475974663926	-0.20949702382994081
ccmK3	slr1838	ccmK3	carbon dioxide concentrating mechanism protein CcmK homolog 3;  putative carboxysome assembly protein	7.911601332488607e-4	0.31355632275293327	0.8010213373011333	0.09687659582251708	-0.2211583674072921
ccmK4	slr1839	ccmK4	carbon dioxide concentrating mechanism protein CcmK homolog 4;  putative carboxysome assembly protein	1.0801773856030672	0.5506102232990051	0.00872410061899529	0.01010784014825894	0.3744605315589193
ccmK5	slr0436	ccmO	carbon dioxide concentrating mechanism protein CcmO	-2.6901664016373257	-0.827433093679683	0.02303330397334184	0.2627170541737136	-1.3171513535988986
ccmK	sll1029	ccmK1	carbon dioxide concentrating mechanism protein CcmK	-0.7330861008269612	-0.2832909768848753	0.11635175242516728	0.9208410939224626	-0.3180531822840926
ccmL	sll1030	ccmL	carbon dioxide concentrating mechanism protein CcmL;  putative carboxysome assembly protein	-0.5127182812825266	-0.030525512378206332	0.23672765952564015	0.9138872385391681	-0.34096177673136263
ccmM	sll1031	ccmM	carbon dioxide concentrating mechanism protein CcmM;  putative carboxysome structural protein	-1.1583373894639744	-0.3420948297615706	0.7324131804450047	0.6105174144329285	-0.577170649058635
ccmN	sll1032	ccmN	carbon dioxide concentrating mechanism protein CcmN;  putative carboxysome assembly protein	-0.5178449127949818	0.2316987182214016	0.23672765952564015	0.22063892942345992	-0.5300073842868721
ccsA	sll1513	ccsA;  ycf5	c-type cytochrome synthesis protein	-0.35019747167962173	0.04355311937473927	0.9190642338250596	0.8082313271949857	-0.27842371303074975
cdsA	slr1369	cdsA	phosphatidate cytidylyltransferase	-3.2793594617626587	-0.7948671438867861	0.6652586483325006	0.11655680514100088	-1.756801365775913
cefD	slr2143	cefD	L-cysteine/cystine lyase	-0.7094991509448706	-0.612501972767655	0.41870951708492	0.01010784014825894	-0.06858736244506898
cfxE	sll0807	rpe	pentose-5-phosphate-3-epimerase	-1.2151658926625764	-0.00821059034467225	0.594324564040631	0.4597023117200558	-0.8534462788580495
chlB	slr0772	chlB	light-independent protochlorophyllide reductase subunit ChlB	0.1643018729665641	0.05332415566344155	0.9647691158263495	0.9721864924133998	0.0784730964656416
chlD	slr1777	chlD	magnesium protoporphyrin IX chelatase subunit D	-2.2138172216429015	-2.6349443687299754	0.011007797784977914	0.004020937266418331	0.2977818614470146
chlG	slr0056	chlG	chlorophyll a synthase	-2.3125685020229985	-2.0280548945652908	0.014165882177057623	0.561343345661614	-0.20118150117319258
chlH	slr1055	chlH	magnesium protoporphyrin IX chelatase subunit H	-2.5215770843930754	-2.3456764282538933	0.21242716088599387	0.004020937266418331	-0.12438054677117873
chlI	slr1030	chlI	magnesium protoporphyrin IX chelatase subunit I	-2.1248944979902427	-2.0141701614314345	0.011007797784977914	0.004020937266418331	-0.07829392922311483
chlL	slr0749	chlL	light-independent protochlorophyllide reductase iron protein subunit ChlL	0.28799846022889664	0.14101322643884018	0.6326011029152486	0.7940384519216179	0.10393425554723898
chlM	slr0525	chlM	Mg-protoporphyrin IX methyl transferase	-3.4055966607795436	-2.9027736549956757	0.00872410061899529	0.004020937266418331	-0.35554955712637554
chlN	slr0750	chlN	light-independent protochlorophyllide reductase subunit ChlN	0.2957902296110427	0.12623848965602302	0.9458951075850284	0.7523734985761684	0.11989118508417249
chrA	slr1457	chrA	chromate transport protein	0.2423208863536042	0.291662483246733	0.9647691158263495	0.15876986603490534	-0.034889777757704465
citH	sll0891	citH	malate dehydrogenase	-1.7467780159975745	0.4780045425281653	0.14692368791880397	0.1369938139670827	-1.5731588337991074
clcD	sll1298	clcD	putative carboxymethylenebutenolidase	0.2596232651173705	0.062129874214882586	0.9647691158263495	0.9138872385391681	0.1396489159466748
clpB2	slr0156	clpB2	ClpB protein	-2.682449035968239	-2.4729386689241295	0.06417443964082256	0.08985389107823419	-0.1481462012657725
clpB	slr1641	clpB1	ClpB protein	-0.09481006559332458	-0.1451223671911287	0.7708972345456213	0.7335897498321949	0.03557616963691006
clpC	sll0020	clpC	ATP-dependent Clp protease ATPase subunit	-3.019751063191977	-3.739164593547766	0.012227041170706682	0.004020937266418331	0.5087021857919328
clpP2	slr0165	clpP3	ATP-dependent Clp protease proteolytic subunit	-1.6816398994214237	-3.0326829265672917	0.014165882177057623	0.004020937266418331	0.955331686169644
clpP3	slr0542	clpP	ATP-dependent protease ClpP	-4.486282935239429	-3.5242494667166895	0.07597918091405867	0.004020937266418331	-0.6802603893208442
clpP4	sll0534	clpP2	ATP-dependent Clp protease proteolytic subunit 2	-1.4728266684833828	-5.48657599911382	0.19000563603671725	0.007032668289482379	2.8381493696717484
clpP	slr0164	clpP4	ATP-dependent Clp protease proteolytic subunit	-0.865734330271896	-3.8042850545208236	0.8624632381404762	0.004020937266418331	2.077869143977057
clpX	sll0535	clpX	ATP-dependent Clp protease ATPase subunit	0.46120273410187046	-2.109628956533213	0.8624632381404762	0.08836706562657776	1.8178525217373438
cmpA	slr0040	cmpA	bicarbonate transport system substrate-binding protein	-3.7172427980747074	-1.6919725607798253	0.3178048046721386	0.3110788174447383	-1.4320823185264995
cmpB	slr0041	cmpB	bicarbonate transport system permease protein	-0.5933428079844288	-0.16650381749719523	0.8313727550868939	0.7907316519063181	-0.30182074464834313
cmpR	sll0030	cmpR	cmp operon transcriptional regulator;  LysR fami ly protein	0.13678564554429715	-0.4761015717957533	0.8624632381404762	0.8445496815343818	0.43337670748370305
cobA	slr0260	cobO	cob(I)alamin adenosyltransferase	0.26931625050205743	0.22429917357748863	0.8927347877322642	0.25369606677924234	0.031831880362559045
cobN2	slr1211	cobN	cobalt-chelatase subunit CobN	0.5075071584801232	0.015590536472181237	0.7708972345456213	0.7853048391346065	0.34783757920019537
cobN	sll1890	cobN	cobalt-chelatase subunit CobN-like protein	-2.5690612917745193	-1.7352366180427818	0.34672092298393176	0.8259228013140874	-0.5896030811163719
cobU	slr0216	cobP	bifunctional cobalamin biosynthesis protein Cob P	-0.018898563538171643	-0.7961132272963348	0.8313727550868939	0.7993737655986074	0.5495737591810196
cobW	slr0502	cobW	cobalamin synthesis protein cobW homolog	-0.9973357057456426	-4.418779344432619	0.8313727550868939	0.9721864924133998	2.4193259983631368
codA	slr1237	codA	cytosine deaminase	0.27424910652392676	-0.014276226476592454	0.5602916101530038	0.9084526470259339	0.20401821950877386
comEc	sll1929	comE	competence protein ComE	-2.5042900296287103	-0.1747701653593198	0.2657783821366908	1	-1.6472192929336518
cpcA	sll1578	cpcA	phycocyanin alpha subunit	1.1971147762551293	1.6246174074414286	0.00872410061899529	0.004020937266418331	-0.3022900094869238
cpcB	sll1577	cpcB	phycocyanin beta subunit	0.9233101873912924	1.785198914875395	0.009809899642329289	0.004020937266418331	-0.6094473638322532
cpcC2	sll1579	cpcC2	phycobilisome rod linker polypeptide	2.2827517634445615	-1.364741892276043	0.00872410061899529	0.004020937266418331	2.5791674982949497
cpcC	sll1580	cpcC1	phycobilisome rod linker polypeptide	2.272818571829706	-1.3782146990535464	0.011007797784977914	0.00757043713806132	2.5816703841792488
cpcD	ssl3093	cpcD	phycobilisome small rod linker polypeptide	0.0072355095089855085	-0.02290917639210739	0.3811252389316491	0.6196508207457321	0.021315511817401298
cpcE	slr1878	cpcE	phycocyanin alpha-subunit phycocyanobilin lyase	1.926529593989147	-1.63050336878807	0.00872410061899529	0.024479198350992878	2.5152021288838458
cpcF	sll1051	cpcF	phycocyanin alpha-subunit phycocyanobilin lyase	2.5231966714079133	-0.2303255040574472	0.009809899642329289	0.988029252035692	1.9470342024190908
cpcG2	sll1471	cpcG2	phycobilisome rod-core linker polypeptide	0.555369678232444	0.18446906453828393	0.13092199202511332	0.6265091551537586	0.2622663390893926
cpcG	slr2051	cpcG1	phycobilisome rod-core linker polypeptide	2.5924081593110584	0.4753442940809465	0.00872410061899529	0.07225776977753574	1.4969902153092152
crtE	slr0739	crtE	geranylgeranyl pyrophosphate synthase	-2.601459850557185	-2.40515328764164	0.13092199202511332	0.00574084884857631	-0.1388097018290053
crtO	slr0088	crtO	beta-carotene ketolase	0.884892501482276	-0.22717139735945566	0.21242716088599387	0.2991671332614426	0.7863479239837393
crtQ	slr0940	crtQ-2	zeta-carotene desaturase	-1.4374442512495385	-1.5238365758535	0.019602630199945976	0.004020937266418331	0.0610885985699306
crtX	slr1125	crtX	probable glucosyl transferase	2.252849196082169	0.029075234986140112	0.7324131804450047	0.7853048391346065	1.5724456477170716
cscK	slr1448	cscK	fructokinase	-0.9131481369624841	0.26265189052003207	0.48928840640055	0.42489288153327165	-0.8314161727522161
csgA	sll1704	csgA	probable short chain dehydrogenase	0.14403909421605085	-0.009647746910547672	0.8927347877322642	0.978907854723714	0.1086730075397574
ctaB	sll1899	ctaB	cytochrome c oxidase folding protein	-0.2156445854632195	-0.021692867725952802	0.6984100208815922	0.77956459118156	-0.13714457483480044
ctaC2	sll0813	ctaC	cytochrome c oxidase subunit II	-0.7389096906226557	-1.2210694206944523	0.2871038646357691	0.25807946741879095	0.34093841474884273
ctaC	slr1136	ctaCI	cytochrome c oxidase subunit II	0.522912054388849	-0.08205313951675705	0.11635175242516728	0.6892156628601628	0.42777499099248867
ctaD2	slr2082	ctaDII	cytochrome c oxidase subunit I	-0.11447043600603583	0.22059140146644401	0.8010213373011333	0.47046975969914623	-0.23692449739361535
ctaD	slr1137	ctaDI	cytochrome c oxidase subunit I	-0.17165956164575438	-0.05481095560980407	0.6984100208815922	0.6759403069414428	-0.08262444170021581
ctaE2	slr2083	ctaEII	cytochrome c oxidase subunit III	-0.6420824858867613	0.32103680907892546	0.45352377927595783	0.12408158843442864	-0.6810281845618438
ctaE	slr1138	ctaEI	cytochrome c oxidase subunit III	0.2830027142524482	-0.14760843363895176	0.6652586483325006	0.3110788174447383	0.3044880627285322
ctpA	slr0008	ctpA	carboxyl-terminal processing protease	-0.9205462203885629	0.3696216894830853	0.102132247396431	0.21253828226117516	-0.9122864779395169
ctpB	slr0257	ctpB	periplasmic carboxyl-terminal protease	-0.7660221523417913	-0.5895247292261385	0.02303330397334184	0.1397277030160682	-0.12480252474702935
