sgRNA target	Number sgRNAs	Locus tag	Gene name	Gene product	Weighted mean fitness at 30% CO2	Weighted mean fitness at 4% CO2	Standard deviation of weighted mean fitness at 30% CO2	Standard deviation of weighted mean fitness at 4% CO2	adjusted p value for 30% CO2	adjusted p value for 4% CO2	Combined score for 30% CO2	Combined score for 4% CO2	Impact score
ssl2717	5	ssl2717	ssl2717	hypothetical protein	-1.65048967754809	-5.08180940347518	0.968958112882339	3.06729344588003	0.317804804672139	0.773956683279766	0.821679023957261	0.565520749993272	2.42630944662221
slr1541	5	slr1541	slr1541	hypothetical protein	-1.87283388795475	-5.26973933274275	1.04766368887086	2.4670560277493	0.0164280793662919	0.0134408636598083	3.34190952545236	9.8627009259935	2.4019748750591
ycf4	5	sll0226	ycf4	photosystem I assembly related protein	-0.710503513064404	-4.078660835345	0.755722269763597	2.2496404179409	0.287103864635769	0.0731074288285478	0.385065167111563	4.63351569605293	2.38164688268773
psbD2	5	slr0927	psbD2	photosystem II reaction center D2 protein	-0.15960822324997	-3.49657667080059	0.973446848894581	2.20330134422933	0.801021337301133	0.016128529540136	0.0153791964232236	6.26728229792887	2.35959301786859
chlH	5	slr1055	chlH	magnesium protoporphyrin IX chelatase subunit H	-2.52157708439308	-5.83366450344353	1.71800498741654	3.33275915888467	0.212427160885994	0.0270681873278269	1.69649173377256	9.14450727785895	2.34199947389323
hemB	5	sll1994	hemB	porphobilinogen synthase (5-aminolevulinate deh ydratase)	-2.4312516113142	-5.70274529425952	1.31706339663817	2.94938657172421	0.0327294984651215	0.0270681873278269	3.61055609726606	8.9392860724763	2.31329536781959
slr1537	5	slr1537	slr1537	unknown protein	-0.399277137475684	-3.62346302394925	0.397748676168082	2.12655876307368	0.381125238931649	0.0731074288285478	0.167270085692047	4.11639346180549	2.27984370413142
rpl36	2	sml0006	rpl36	50S ribosomal protein L36	-2.45643421709006	-5.64792026105732	3.0963114449506	3.8570245869416	1	0.158566415524155	0	4.51714331809456	2.25672142375147
apcB	5	slr1986	apcB	allophycocyanin beta subunit	-0.398517792401618	-3.54865246075476	1.02232173258625	1.39011342014542	0.594324564040631	0.00942124926252689	0.0900555839968413	7.18918487698017	2.22748158564334
ccmK4	5	slr1839	ccmK4	carbon dioxide concentrating mechanism protein CcmK homolog 4;  putative carboxysome assembly protein	1.08017738560307	-2.06685774571035	0.329319656321502	0.971166461517675	0.00872410061899529	0.0114799821403657	2.22438696738848	4.00982553223902	2.22528988198401
psbH	3	ssl2598	psbH	photosystem II PsbH protein	0.338983092507655	-2.78483729501927	2.42500263573495	0.711249616513115	0.594324564040631	0.0319505320523307	0.0766021516300766	4.16478517770286	2.20887457922907
sll1979	5	sll1979	sll1979	hypothetical protein	2.05498244622028	-1.05013691941534	1.22320998592804	0.580015809592459	0.91906423382506	0.290576508746449	0.0753236030007161	0.563649963537926	2.19565095983462
rpl11	5	sll1743	rpl11	50S ribosomal protein L11	-4.10952730249643	-7.19736425654717	2.31011407501117	4.3286135424229	0.102132247396431	0.156197939506006	4.07187216178007	5.80341257092971	2.18343044940769
sll1186	5	sll1186	sll1186	hypothetical protein	-1.1942722598449	-4.27140231178317	0.826016680004114	2.56987481356813	0.862463238140476	0.799499133977992	0.0767432276228773	0.415103429491872	2.17585952631847
ssr0109	5	ssr0109	ssr0109	hypothetical protein	-1.3686508103046	-4.43970119208235	1.28890850067608	2.56448511110803	0.632601102915249	0.0226205492561523	0.272183662255315	7.30551434450058	2.17156055032058
ycf39	5	sll1218	ycf39	hypothetical protein YCF39	1.63867771417403	-1.4295254275551	0.917097335562144	0.931108807161886	0.594324564040631	0.678548525328875	0.370302358755995	0.240759370222504	2.16954724757454
purL2	5	slr0520	purL	phosphoribosyl formylglycinamidine synthase	-0.877229965697878	-3.92128901689278	0.723424073082681	0.821679323366386	0.0230333039733418	0.00942124926252689	1.43659018022571	7.94410611077934	2.1524747974322
slr1575	5	slr1575	slr1575	probable potassium efflux system	0.902650508655132	-2.13191735866924	0.59042696451198	1.39230329282657	0.732413180445005	0.773956683279766	0.122077928887999	0.237246895323117	2.14576351695586
slr1763	5	slr1763	slr1763	probable methyltransferase	-0.731284664554993	-3.7489880472637	1.76479732315481	2.69808255372119	0.945895107585028	0.116375269737098	0.0176656588599745	3.50207706790126	2.13383852552291
sll0034	5	sll0034	sll0034	putative carboxypeptidase	1.24016173984901	-1.76579849093207	0.662539939348903	1.0316382308636	0.632601102915249	0.259130136925637	0.246631033715534	1.03560916383526	2.12553486316238
slr0519	5	slr0519	slr0519	hypothetical protein	-2.86644608189193	-5.87179428294348	1.02550559750494	2.59153591353359	0.00872410061899529	0.00942124926252689	5.90281317889505	11.8956181611252	2.12510209279034
icfA	5	slr1347	icfA	beta-type carbonic anhydrase localized in the c arboxysome	0.0960273869761452	-2.90773849997535	1.84283957066508	1.39084353778498	0.892734787732264	0.00942124926252689	0.00473199354518959	5.89076272794257	2.12398322776023
lysA	5	sll0504	lysA	diaminopimelate decarboxylase	-1.88057501137514	-4.87843780340419	0.996240631683256	2.54338846610581	0.0122270411707067	0.010310564376866	3.59693562779641	9.69207805803902	2.11980910931058
apcF	5	slr1459	apcF	phycobilisome core component	0.728013824785	-2.24261332836979	1.85061117320559	0.864213471610679	0.130921992025113	0.00942124926252689	0.64282703093829	4.54329129254918	2.10055060437264
slr0967	5	slr0967	slr0967	hypothetical protein	0.330834164560995	-2.62677275543264	0.326758920189283	2.13249170325106	0.381125238931649	0.799499133977992	0.138597114289682	0.255275036085445	2.09134390921176
slr0207	5	slr0207	slr0207	hypothetical protein	0.288277636312947	-2.66563522879181	0.373677066548114	1.6546636624944	0.91906423382506	0.228418740933118	0.0105665672578177	1.70938728274152	2.08873181794975
sll0936	5	sll0936	sll0936	putative oxidoreductase	0.21441979061542	-2.73859978760586	0.443723184241834	1.48498829323369	0.698410020881592	0.0134408636598083	0.0334258020845987	5.12548893895441	2.0881001687369
pilT	5	sll1533	pilT2	twitching mobility protein	-2.69038970448005	-5.61329305975188	1.13810532534861	1.6034434300266	0.00903848382619154	0.00942124926252689	5.49889939447578	11.3719227288442	2.06680478326562
ssl1918	5	ssl1918	ssl1918	hypothetical protein	1.12875497074816	-1.72934224403141	0.603481355795685	1.1058120956757	0.732413180445005	0.678548525328875	0.152657166566352	0.291254245322702	2.02097992186101
slr0373	5	slr0373	slr0373	hypothetical protein	2.08979268915118	-0.754593946046077	0.450973200886246	0.357932261467133	0.00872410061899529	0.0381550422491474	4.30346689742659	1.07035231977303	2.01128507806437
slr0272	5	slr0272	slr0272	unknown protein	-1.88755933279083	-4.73183897073916	1.22402752139687	2.79213515083915	0.560291610153004	0.228418740933118	0.474883277001659	3.03437817492694	2.01120941958408
ssl2823	5	ssl2823	ssl2823	hypothetical protein	-2.70350469102331	-5.5295401602352	2.31991274206815	2.8235158443653	0.23672765952564	0.010310564376866	1.69172075215537	10.9856345448668	1.99830884415343
rps8	5	sll1809	rps8	30S ribosomal protein S8	-2.29526743921702	-5.11298092175705	1.19932523896431	3.0145627343968	0.0122270411707067	0.135288050494858	4.39010897066196	4.44185391625296	1.99242431094482
psbC	5	sll0851	psbC	photosystem II CP43 protein	-3.34084514880983	-6.15074675698262	1.15899870272014	2.2533933627799	0.00872410061899529	0.00942124926252689	6.87973337353908	12.4607456087795	1.98690048160596
pknA2	5	slr1443	pknA	serine/threonine kinase	-1.11943557584843	-3.92490813955778	0.753195891784663	2.37258915419162	0.862463238140476	0.851068828310938	0.071934266661808	0.274882181387322	1.98376867423169
rpl1	5	sll1744	rpl1	50S ribosomal protein L1	-2.66579230239242	-5.47027154614337	0.738427188216155	1.87920941296755	0.00872410061899529	0.00942124926252689	5.48961099745263	11.0821766592901	1.98306629095322
sll0423	5	sll0423	sll0423	hypothetical protein	0.141762105717361	-2.65240423302779	1.76051949012233	1.7785009694467	0.346720922983932	0.228418740933118	0.0652133967719072	1.70090266502161	1.97577396588988
sll8017	5	sll8017	sll8017	hypothetical protein	2.81709661585648	0.0232150654236528	1.67813264208407	0.107872340558113	0.698410020881592	0.914355054285718	0.439155889783057	0.0009027208396119	1.97557259014304
sll1925	5	sll1925	sll1925	hypothetical protein	0.28348192856014	-2.50921453441522	0.438400832817438	1.51929850119501	1	0.156197939506006	0	2.023241655296	1.97473460676556
sll1380	5	sll1380	sll1380	periplasmic protein;  function unknown	0.564776385046261	-2.22676912030934	0.82032274568831	2.11448480614896	0.190005636036717	1	0.407335658284364	0	1.97392075682777
sll0556	5	sll0556	sll0556	Na+/H+ antiporter	0.0905613568466148	-2.6863890282243	0.189427196455321	1.58418584535721	0.41870951708492	0.116375269737098	0.0342400869106881	2.50946156472078	1.96360044830224
nrdA	5	slr1164	nrdA	ribonucleotide reductase subunit alpha	-4.81287203369963	-7.58914278151752	2.03771309206517	3.02179837518817	0.00872410061899529	0.00942124926252689	9.91104791690572	15.3747798967399	1.96311987219187
sll0176	5	sll0176	sll0176	hypothetical protein	0.564069464777637	-2.21051326163153	0.326123095396024	1.4939054736131	0.0641744396408226	0.156197939506006	0.672730630284889	1.78239144129597	1.96192626080698
rffM2	5	slr1271	rffM	probable UDP-N-acetyl-D-mannosaminuronic acid t ransferase	-1.67510908276462	-4.42866564286314	1.1690301816725	2.62562545358298	0.48928840640055	0.259130136925637	0.52001261314923	2.59733301781822	1.94705851602636
slr1102	5	slr1102	slr1102	hypothetical protein	1.09197711136964	-1.65443812574055	1.34328372412544	1.13270564609401	0.96476911582635	0.135288050494858	0.0170092989823354	1.43727750611154	1.94200883811468
slr1717	5	slr1717	slr1717	hypothetical protein	-1.76958648977415	-4.51449110850181	1.06162120656157	2.48371831039297	0.831372755086894	0.325009520625726	0.141928289729148	2.20354079279647	1.94094066961261
slr1974	5	slr1974	slr1974	GTP binding protein	-1.49459787129969	-4.21344007671359	0.757203472673878	1.25755422902692	0.0122270411707067	0.00942124926252689	2.8586854020651	8.53597246125616	1.92251176042436
sohA	5	slr0724	sohA	HtaR suppressor protein homolog	1.48344750138874	-1.21678239341881	0.749691104647961	1.00073968999766	0.0881684801104733	0.539930253869482	1.56457226933361	0.325686819113972	1.90935086938105
sll1021	5	sll1021	sll1021	hypothetical protein	-0.261477466680587	-2.94574647674336	0.306052985488259	1.73291930630292	0.698410020881592	0.746352504788104	0.0407616014630089	0.374274780062778	1.89806481954429
Era	5	slr0321	era	GTP-binding protein ERA homolog	-0.057978713965215	-2.73563598583795	1.94692912262319	1.1715601956307	0.116351752425167	0.00942124926252689	0.0541652841412223	5.54210170643929	1.89338961463468
aroA	5	slr0444	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	-1.92709761502519	-4.59929166836877	1.39872252633011	2.48796049902174	0.381125238931649	0.0451178924440654	0.807323417614495	6.1890423315375	1.88952653576562
ycf38	5	sll0760	ycf38	hypothetical protein YCF38	-1.34710539301422	-4.01439279289733	1.28113325070672	2.0157186804211	0.265778382136691	0.0627282714324613	0.775232678439084	4.82745458100719	1.88605700783078
secY	5	sll1814	secY	preprotein translocase SecY subunit	-1.26167934860272	-3.91982641445464	1.94653855411383	1.55247973238679	0.48928840640055	0.00942124926252689	0.391669522763555	7.94114303692368	1.87959381565502
dnaG	5	sll1868	dnaG	DNA primase	-0.591122767638253	-3.20730692077584	0.726239744675045	2.35655683622864	0.632601102915249	0.891443924977185	0.117556617456333	0.160063763967464	1.84992155551637
btpA	5	sll0634	btpA	photosystem I biogenesis protein BtpA	-2.51432035419492	-5.1239996712478	1.41115014767366	2.52673240026943	0.0759791809140587	0.00942124926252689	2.81429233123511	10.380667409271	1.84532194181037
sll1571	5	sll1571	sll1571	hypothetical protein	-2.24303419871617	-4.85072781597158	1.88308254831814	2.91087447249977	0.831372755086894	0.497647869636685	0.17990079008142	1.4701481610215	1.84391784001818
rps16	5	ssr0482	rps16	30S ribosomal protein S16	-0.964006959978269	-3.56684541566292	0.919240778697713	1.60694156823397	0.41870951708492	0.00942124926252689	0.364478661114473	7.2260418297925	1.84048472234774
adk2	5	sll1815	adk2	adenylate kinase	-2.98220089853652	-5.57173743701872	2.262498235298	2.79770292011704	0.212427160885994	0.00942124926252689	2.006394809078	11.2877355457344	1.8310788464911
slr8021	5	slr8021	slr8021	hypothetical protein	2.20826512646631	-0.373887465661254	1.2717945622355	0.300230935724731	0.0540569593737855	0.424519521785774	2.79819959172364	0.139124398501624	1.82585760795182
crtX	5	slr1125	crtX	probable glucosyl transferase	2.25284919608217	-0.318506683993317	1.45883694125936	0.319581351813897	0.732413180445005	0.386972664061619	0.30468399598474	0.131326584428335	1.81822317964528
trpD	5	slr1867	trpD	anthranilate phosphoribosyltransferase	-1.89738478746049	-4.462743827362	1.31242924177471	2.11497314087898	0.146923687918804	0.00942124926252689	1.58034730818913	9.04103481203784	1.81398277329257
apcA	5	slr2067	apcA	allophycocyanin alpha subunit	-2.1312423300031	-4.69588850652336	1.18013365070597	1.67001836793854	0.0122270411707067	0.00942124926252689	4.07638165023281	9.51336063715366	1.81347870276163
purC	5	slr1226	purC	phosphoribosyl aminoidazole succinocarboxamide synthetase	-3.25261372604168	-5.80158003994426	1.826780595027	2.4867452281564	0.019602630199946	0.00942124926252689	5.55444179436823	11.7533717226528	1.80239136557659
pds	5	slr1254	pds;  crtD;  crtP	phytoene dehydrogenase (phytoene desaturase)	-1.78630546523187	-4.32335272762534	1.16431955352969	2.46780589509512	0.167042074736508	0.0114799821403657	1.38827038605728	8.38755845102884	1.79396332342918
proC	5	slr0661	proC	pyrroline-5-carboxylate reductase	-0.851631063267499	-3.38062687980576	1.02945051108759	2.11408454805389	0.945895107585028	0.290576508746449	0.0205728693181281	1.81451597625834	1.78827009146662
rpl6	5	sll1810	rpl6	50S ribosomal protein L6	-4.27270181842701	-6.76779442467985	2.00210349958559	3.76265907723901	0.00872410061899529	0.010310564376866	8.7986865556715	13.4456960379789	1.76429690156979
cbbA	5	sll0018	fbaA;  fda	fructose-bisphosphate aldolase;  class II	-3.43670416472458	-5.92531614685355	2.59358843265501	3.02953777860572	0.167042074736508	0.00942124926252689	2.67091755043561	12.0040476505907	1.75971440830549
slr1778	5	slr1778	slr1778	unknown protein	-0.798957809953003	-3.28490734599818	2.17028303587898	2.34299574878211	0.732413180445005	0.0731074288285478	0.108054129225798	3.73178118069106	1.7578317746251
sll0933	5	sll0933	sll0933	hypothetical protein	-1.25363200513528	-3.73089869688736	3.41808894542991	2.60302040237072	0.732413180445005	0.0270681873278269	0.169546017320304	5.84833602729502	1.75169207654546
slr1535	5	slr1535	slr1535	hypothetical protein	0.423638458821912	-2.05310718661492	0.388456129573559	1.78543581370762	0.801021337301133	0.891443924977185	0.0408200714097927	0.10246230630112	1.75132364116264
sll0269	5	sll0269	sll0269	hypothetical protein	2.3969463379323	-0.0658527079184052	0.291003594469791	0.16599918198904	0.00872410061899529	0.325009520625726	4.93598205877031	0.0321429646723733	1.7414619060208
guaB	5	slr1722	guaB	inosine-5'-monophosphate dehydrogenase	-1.06538004920337	-3.52550767719417	0.854024742735377	2.14768961259136	0.212427160885994	0.20123938752781	0.716776995629604	2.45476521028437	1.73957292833667
amiC	5	slr0447	urtA	periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein	0.79465463761497	-1.66288342318094	1.05180407492384	1.23181329247707	0.862463238140476	0.290576508746449	0.0510640360548781	0.892535214708558	1.73774182781282
rps17	5	ssl3437	rps17	30S ribosomal protein S17	-3.04657254868233	-5.48293668491857	0.596442424141853	1.69551144856194	0.00872410061899529	0.00942124926252689	6.27374388948996	11.1078348563535	1.72276960217234
amt1	5	sll0108	amt1	ammonium/methylammonium permease	1.88755887039792	-0.548571459275016	0.268367241987522	0.150176955405784	0.00872410061899529	0.0451178924440654	3.88701097380178	0.738185839936201	1.72260427596595
slr0007	5	slr0007	slr0007	probable sugar-phosphate nucleotidyltransferase	-2.41781304490311	-4.84410442518223	1.59075205811156	2.92167806752638	0.453523779275958	0.539930253869482	0.830276847216331	1.29658431139914	1.71564708812983
slr0115	5	slr0115	rpaA;  ycf27	response regulator for energy transfer from phy cobilisomes to photosystems	1.5861228982181	-0.839407804972233	0.347113035702232	0.902818029188604	0.00872410061899529	0.678548525328875	3.2662701057225	0.141372297819571	1.71510920820206
guaA	5	slr0213	guaA	GMP synthetase	-2.4475962125124	-4.8644603468792	0.884995903998699	1.51504187670247	0.00872410061899529	0.00942124926252689	5.04028429877038	9.8548688966334	1.70898101861732
prfA	5	sll1110	prfA	peptide chain release factor 1	-1.49237731941453	-3.89364256690213	2.07842409154465	2.34237071006863	0.91906423382506	0.0114799821403657	0.0547017990064149	7.55389547760622	1.69795093992608
clpP	5	slr0164	clpP4	ATP-dependent Clp protease proteolytic subunit	-0.865734330271896	-3.23929346182065	1.33952209540076	1.52921070386098	0.862463238140476	0.010310564376866	0.0556315749790787	6.43556120833463	1.67835975746538
valS	5	slr0557	valS	valyl-tRNA synthetase	-3.60696154359446	-5.96470720104711	2.22347081900262	2.51286530838372	0.0230333039733418	0.00942124926252689	5.90691806778085	12.0838496526826	1.66717794269791
rpl31	5	ssl3445	rpl31	50S ribosomal protein L31	-2.61466767800354	-4.96298241997808	1.36653197507808	2.56457416783492	0.0110077977849779	0.010310564376866	5.12030255578499	9.8600443325397	1.66050927841053
slr0820	5	slr0820	slr0820	probable glycosyltransferase	0.896116749033667	-1.45215976733202	0.65553152428562	1.07455447501451	0.167042074736508	0.17662761241048	0.696438749893138	1.09339121065488	1.6604822488233
sll0759	5	sll0759	sll0759	ABC transporter ATP-binding protein	-0.240700639432836	-2.58879285975319	1.20907935243925	1.3563132069366	0.96476911582635	0.0134408636598083	0.00374929941179555	4.84511436390237	1.6603519318399
slr0495	5	slr0495	slr0495	HetI protein homolog	-2.20924050671766	-4.5566485553073	1.34473984651027	2.26246896959459	0.0641744396408226	0.00942124926252689	2.63482399126315	9.23127560272876	1.65986814936961
purM	5	slr0838	purM	phosphoribosyl formylglycinamidine cyclo-ligase	-1.67746573984032	-4.02339783043245	1.33144490186259	2.32257947767229	0.831372755086894	0.0319505320523307	0.134539817584821	6.0170795895891	1.65882448946083
sll0853	5	sll0853	sll0853	hypothetical protein	0.555811632785285	-1.78903319286076	0.321605424524428	1.05345331197229	0.41870951708492	0.0319505320523307	0.21014524599905	2.6755383294281	1.6580556770445
psbZ	5	slr1645	psb27;  psbZ	photosystem II 11 kD protein	-0.937154750356943	-3.26299561839092	0.811863924277695	2.29071657701777	0.91906423382506	0.647662559333708	0.0343505962768476	0.615568066122509	1.64461784974763
slr1747	5	slr1747	slr1747	cell death suppressor protein Lls1 homolog	-0.443313569316906	-2.76849566364381	0.455462625219278	1.68449180520296	0.91906423382506	0.290576508746449	0.0162492752001239	1.48596097424755	1.64415202639209
rpl24	5	sll1807	rpl24	50S ribosomal protein L24	-2.42974673875881	-4.7545282926947	1.77348920418966	2.11803481187812	0.167042074736508	0.00942124926252689	1.88833629448716	9.63215848185515	1.64386880156547
slr1438	5	slr1438	slr1438	Aldose 1-epimerase	-0.210114421568311	-2.52826607560076	0.36616109379198	1.84823560748412	0.770897234545621	0.773956683279766	0.0237436676176894	0.281353906401632	1.63918075438516
rps6	5	sll1767	rps6	30S ribosomal protein S6	1.08361522279019	-1.23192548137821	0.862718628731746	0.824476645591528	0.212427160885994	0.0451178924440654	0.729045437251089	1.65774199666133	1.63733453403095
atpE	5	slr1330	atpE	ATP synthase epsilon chain of CF(1)	-5.49723727496229	-7.80205356532008	2.95046608106606	3.52456396920137	0.00903848382619154	0.00942124926252689	11.2358275354097	15.8061140451208	1.62975122830122
rpl29	5	ssl3436	rpl29	50S ribosomal protein L29	-1.3392435505239	-3.63242021658894	0.949115348908192	1.7934740484454	0.0164280793662919	0.00942124926252689	2.38976387985168	7.3588892619775	1.62152077103335
purK	5	sll0578	purK	phosphoribosylaminoimidazole carboxylase ATPase subunit	-0.25382321154472	-2.5422288252379	0.260573435247437	1.26122413011448	0.287103864635769	0.016128529540136	0.137562271787672	4.55670423209966	1.61814712754781
thrA	5	sll0455	thrA	homoserine dehydrogenase	-0.370838796824956	-2.65053398945042	0.67162359968448	1.73227399572974	0.892734787732264	0.259130136925637	0.018274024193926	1.55449067525412	1.61198792974384
rps2	5	sll1260	rps2	30S ribosomal protein S2	-5.20355382982074	-7.47811731673695	2.71060406946659	3.93703113379317	0.0110077977849779	0.0114799821403657	10.190117160258	14.5079872148747	1.60835926583777
sll0558	5	sll0558	gun4; ycf53	hypothetical protein YCF53	-1.15400008931456	-3.42631009489459	0.860068309241415	1.41042039826815	0.0641744396408226	0.00942124926252689	1.37630426021987	6.94133251719489	1.60676581390368
ssl0350	3	ssl0350	ssl0350	unknown protein	-1.0781762829585	-3.34948034836985	2.04728961968347	1.53300271384402	0.96476911582635	0.0394122080082754	0.0167943288934893	4.70390715037826	1.60605450678894
rps9	5	sll1822	rps9	30S ribosomal protein S9	-1.95568590667382	-4.2237950151478	2.47446919292382	2.53712686914233	0.698410020881592	0.0134408636598083	0.30487097235052	7.90513996551384	1.60379533107293
fecB2	5	slr1491	fecB	iron(III) dicitrate transport system substrate- binding protein	-0.114967757775841	-2.37931029669311	0.316085015226607	1.46397454184061	0.831372755086894	0.228418740933118	0.0092208984016388	1.52577618983021	1.60113196419757
sll1173	5	sll1173	sll1173	hypothetical protein	-1.28973372091631	-3.55007769030824	0.743886182608789	1.88573840675792	0.732413180445005	0.746352504788104	0.174428552309862	0.451058689957197	1.59830454857115
trpC	5	slr0546	trpC	indole-3-glycerol phosphate synthase	-3.2067871177963	-5.45350469880846	1.77447266039382	2.99614697647105	0.0141658821770576	0.010310564376866	5.92856812637122	10.8345735583328	1.58866923694474
slr1886	5	slr1886	slr1886	hypothetical protein	-1.03189377905056	-3.2721789431007	0.880679342914752	2.0522327666263	0.91906423382506	0.325009520625726	0.0378231733779886	1.59716335887189	1.58412083129148
slr0458	5	slr0458	slr0458	unknown protein	-0.300988015226148	-2.52017865877171	0.287085019721214	1.79792747413587	0.346720922983932	0.891443924977185	0.138460491689267	0.125771961323831	1.56920475279681
slr1542	5	slr1542	ispF	2-C-methyl-D-erythritol 2; 4-cyclodiphosphate sy nthase	-1.96150209692843	-4.18012382704854	1.27616018693224	1.11016717642098	0.0122270411707067	0.00942124926252689	3.75172313455345	8.46847735405743	1.56880247025576
sll1258	5	sll1258	sll1258	dCTP deaminase	-4.01047454623454	-6.22883005712786	2.0727563259305	3.35558257218414	0.116351752425167	0.325009520625726	3.74669388955854	3.04031634848717	1.56861422483521
sll0381	5	sll0381	sll0381	hypothetical protein	-0.142025971022554	-2.3546197165679	0.122320341819135	1.28457765203858	0.146923687918804	0.016128529540136	0.118294592895335	4.22043268527027	1.56454004148606
pyrF	5	sll0838	pyrF	orotidine 5' monophosphate decarboxylase	-2.87738437395963	-5.06564138857204	1.2410125588257	1.83478815330388	0.00903848382619154	0.00942124926252689	5.88109862496613	10.26243986011	1.54733137401147
leuD	5	sll1444	leuD	3-isopropylmalate dehydratase small subunit	-2.50948846311058	-4.6940613003799	1.7190190828816	2.5464752053137	0.381125238931649	0.0189548347205997	1.05130574948903	8.08448788756562	1.54472626722908
sll1702	5	sll1702	ycf51	hypothetical protein YCF51	-1.36576798508737	-3.54597683033444	0.883210425067977	1.83470381265568	0.146923687918804	0.0319505320523307	1.13755932539786	5.30308602583997	1.54164045887709
lysC	5	slr0657	lysC	aspartate kinase	-3.47549848090116	-5.65001066485425	2.06371341244864	3.11827848042385	0.130921992025113	0.0226205492561523	3.06882135125391	9.29707477437558	1.537612311046
secA	5	sll0616	secA	preprotein translocase SecA subunit	-1.53763639201655	-3.69837350133289	1.14025727017159	1.91824352738384	0.102132247396431	0.016128529540136	1.52354720110722	6.6289839915696	1.527871862359
