chr	start	end	strand	type	gene	name	product	locus	CO2_30percent	CO2_4percent
NC_000911.1	32524	32928	-	protein-coding	SGL_RS01995	exbD1	siderophore transporter ExbD1	sll1405	0.2370667188098356	0.14406415427858332
NC_000911.1	32912	33544	-	protein-coding	SGL_RS02000	exbB1	siderophore transporter ExbB1	sll1404	0.16730829885217813	0.30989272485398034
NC_000911.1	33891	35489	+	protein-coding	SGL_RS02005	tonB	energy transducer TonB	slr1484	-0.3333774174755854	0.10813815415004152
NC_000911.1	35566	36615	+	protein-coding	SGL_RS02010	slr1485	hypothetical protein	slr1485	0.2846262509832395	0.19263000610791828
NC_000911.1	36757	38538	+	protein-coding	SGL_RS02015	slr1488	ABC transporter ATP-binding protein	slr1488	-0.09822818292296878	0.2096370516512654
NC_000911.1	38680	39636	+	protein-coding	SGL_RS02020	slr1489	AraC family transcriptional regulator	slr1489	-0.34780228925680307	0.21931545942208433
NC_000911.1	39817	42363	+	protein-coding	SGL_RS02025	fhuA1	TonB-dependent ferrichrome-iron receptor FhuA1	slr1490	0.17580064692448785	0.31239373687870536
NC_000911.1	39817	42363	+	protein-coding	SGL_RS02025	fhuA1	TonB-dependent ferrichrome-iron receptor FhuA1	slr1490	-0.7111038300642957	-0.09836852479574036
NC_000911.1	40002	40128	-	non-coding	SLR1490-AS2	slr1490-as2	SLR1490-AS2-RNA	slr1490-as2	0.346960417281724	0.317645819575659
NC_000911.1	40675	40752	-	non-coding	SLR1490-AS	slr1490-as	SLR1490-AS-RNA	slr1490-as	0.44808798487666707	0.11481253760877924
NC_000911.1	42567	43397	+	protein-coding	SGL_RS02030	fecB2	iron(III) dicitrate ABC transporter substrate-binding protein	slr1491	-0.16028286333814584	-2.6871701670440244
NC_000911.1	42685	42795	-	non-coding	SLR1491-AS	slr1491-as	SLR1491-AS-RNA	slr1491-as	-1.099909718528294	-1.977831333284361
NC_000911.1	43511	44506	+	protein-coding	SGL_RS02035	decB	iron(III) dicitrate ABC transporter substrate-binding protein	slr1492	0.2243696064126108	0.05448956148177054
NC_000911.1	44511	44885	+	protein-coding	SGL_RS02040	slr1493	DUF1636 family protein	slr1493	0.10308491103437133	0.10058706816807146
NC_000911.1	44948	46789	+	protein-coding	SGL_RS02045	decA	iron(III) dicitrate ABC transporter ATP-binding protein	slr1494	-0.04188104413502072	0.32730474961812894
NC_000911.1	45931	46074	-	non-coding	SLR1494-AS	slr1494-as	SLR1494-AS-RNA	slr1494-as	1.4417069145006869	0.344632719594515
NC_000911.1	47007	47942	-	protein-coding	SGL_RS02050	sll1401	hypothetical protein	sll1401	0.20666099150047457	0.321753346654377
NC_000911.1	48067	48408	-	protein-coding	SGL_RS02055	vapC12	endoribonuclease VapC12	sll1400	-2.0929509199180214	-2.3232696968447493
NC_000911.1	48405	48635	-	protein-coding	SGL_RS02060	vapB12	antitoxin VapB12	ssl2733	0.18019609159469815	0.1801295086993819
NC_000911.1	48663	49868	-	protein-coding	SGL_RS02065	sll1399	DUF4336 domain-containing protein	sll1399	-0.6468636100270128	-0.9416105717867792
NC_000911.1	49893	50231	-	protein-coding	SGL_RS02070	psbW1	photosystem II reaction center Psb28 protein	sll1398	0.5500290450973156	0.08402173689844704
NC_000911.1	50246	51895	+	protein-coding	SGL_RS02075	slr1495	ATP-dependent DNA helicase	slr1495	0.6238538037258093	0.01925661764117178
NC_000911.1	53453	54097	-	protein-coding	SGL_RS02085	sll1396	hypothetical protein	sll1396	-1.6231566643572364	-0.1105599911270904
NC_000911.1	54533	55657	+	protein-coding	SGL_RS02090	hypD	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD	slr1498	-0.177968417746014	0.2958454403945429
NC_000911.1	55669	56550	-	protein-coding	SGL_RS02095	rfbD	dTDP-4-dehydrorhamnose reductase	sll1395	-0.8535036003482042	-0.5474637484642199
NC_000911.1	56556	57224	-	protein-coding	SGL_RS02100	msrA	peptide-methionine (S)-S-oxide reductase MsrA	sll1394	0.5230484640245809	0.2003754878266166
NC_000911.1	57340	58815	-	protein-coding	SGL_RS02105	glgA2	glycogen synthase GlgA2	sll1393	0.34423803989522783	0.35450634272077286
NC_000911.1	59039	59650	-	protein-coding	SGL_RS02110	sll1392	TetR/AcrR family transcriptional regulator	sll1392	0.13955522548867152	-0.14707693912652747
NC_000911.1	59749	60423	+	protein-coding	SGL_RS02115	slr1501	GNAT family N-acetyltransferase	slr1501	0.3083225425044922	0.09739002998056108
NC_000911.1	59749	60423	+	protein-coding	SGL_RS02115	slr1501	GNAT family N-acetyltransferase	slr1501	0.3946588087957705	0.03609748840379907
NC_000911.1	60524	61522	+	protein-coding	SGL_RS02120	slr1113	ABC transporter ATP-binding protein	slr1113	-0.37358513727658726	-1.1472261083106297
NC_000911.1	61834	63591	+	protein-coding	SGL_RS02125	slr1114	hypothetical protein	slr1114	-1.121732652380503	-0.33597518990305975
NC_000911.1	61834	63591	+	protein-coding	SGL_RS02125	slr1114	hypothetical protein	slr1114	0.3198591434635588	0.00459808102628481
NC_000911.1	63633	64361	+	protein-coding	SGL_RS02130	slr1115	class I SAM-dependent methyltransferase	slr1115	-0.04478761817701059	-0.46394093250168994
NC_000911.1	64393	64914	+	protein-coding	SGL_RS02135	slr1116	DinB family protein	slr1116	0.10781170667822998	0.06380461990226224
NC_000911.1	64987	65748	+	protein-coding	SGL_RS02140	slr1117	class I SAM-dependent methyltransferase	slr1117	-0.1226963047806282	0.20793517562323915
NC_000911.1	65827	67533	-	protein-coding	SGL_RS02145	sll1064	metallophosphoesterase	sll1064	0.39172776701626033	0.15547128974460914
NC_000911.1	67039	67143	+	non-coding	SLL1064-AS	sll1064-as	SLL1064-AS-RNA	sll1064-as	0.25658278784854804	0.14755502500510767
NC_000911.1	67606	68361	+	protein-coding	SGL_RS02150	slr1118	WecB/TagA/CpsF family glycosyltransferase	slr1118	0.22492155167769917	0.2490142344390339
NC_000911.1	68400	69059	-	protein-coding	SGL_RS02155	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	sll1063	-2.135904395346357	-1.6082462410307952
NC_000911.1	69284	69985	+	protein-coding	SGL_RS02160	slr1119	GDSL-type esterase/lipase family protein	slr1119	-0.8182743045243979	-0.04282533117310907
NC_000911.1	69757	69886	-	non-coding	SLR1119-AS	slr1119-as	SLR1119-AS-RNA	slr1119-as	-0.513999463279954	-1.5687380112353269
NC_000911.1	70016	70393	-	protein-coding	SGL_RS02165	sll1062	hypothetical protein	sll1062	0.2162752978135252	0.1706002134460857
NC_000911.1	70420	70935	-	protein-coding	SGL_RS02170	sll1061	hypothetical protein	sll1061	0.18314301735948385	0.3016432273906701
NC_000911.1	70944	74042	-	protein-coding	SGL_RS02175	sll1060	UPF0182 family protein	sll1060	-0.10552976415858978	0.19224185408279895
NC_000911.1	72162	72242	+	non-coding	SLL1060-AS	sll1060-as	SLL1060-AS-RNA	sll1060-as	0.25860567951077706	0.13931361951133558
NC_000911.1	73978	74229	-	protein-coding	SGL_RS02180	ssl2069	hypothetical protein	ssl2069	0.14885815338353608	0.08303372183736127
NC_000911.1	74498	74785	+	protein-coding	SGL_RS02185	ssr1853	PepSY domain-containing protein	ssr1853	0.2814196193749385	0.0981184344467238
NC_000911.1	74995	75804	+	protein-coding	SGL_RS02190	pilD	prepilin peptidase/<i>N</i>-methylase	slr1120	7.590431199034397e-4	0.2902768109278248
NC_000911.1	75955	76500	-	protein-coding	SGL_RS02195	adk2	adenylate kinase 2	sll1059	0.3875392553437445	0.13655237628666725
NC_000911.1	76580	77407	-	protein-coding	SGL_RS02200	dapB	4-hydroxy-tetrahydrodipicolinate reductase	sll1058	-1.8533026820430103	-2.825410871346449
NC_000911.1	77494	77826	-	protein-coding	SGL_RS02205	trxC	thioredoxin C	sll1057	1.335849575104041	0.0386481593546991
NC_000911.1	78467	80800	-	protein-coding	SGL_RS02220	purL	phosphoribosylformylglycinamidine synthase subunit PurL	sll1056	-1.28319126558096	-3.4439150208809233
NC_000911.1	80938	81690	+	protein-coding	SGL_RS02225	slr1122	hypothetical protein	slr1122	-1.4519452646283906	0.06221140789172837
NC_000911.1	80938	81690	+	protein-coding	SGL_RS02225	slr1122	hypothetical protein	slr1122	-2.441408646893545	-0.1613303148915311
NC_000911.1	81696	82259	-	protein-coding	SGL_RS02230	sll1054	NUDIX hydrolase	sll1054	-1.870754846507434	-1.5605028809740695
NC_000911.1	82291	83853	-	protein-coding	SGL_RS02235	sll1053	efflux RND transporter periplasmic adaptor subunit	sll1053	-0.16077299549986598	-0.05263784601033864
NC_000911.1	84122	84697	+	protein-coding	SGL_RS02240	gmpK	guanylate kinase	slr1123	-3.398344635006332	-5.549521882185375
NC_000911.1	84683	84743	-	non-coding	SLR1123-AS	slr1123-as	SLR1123-AS-RNA	slr1123-as	-0.9560547519076782	-1.832440562398072
NC_000911.1	84776	86107	+	protein-coding	SGL_RS02245	serB	phosphoserine phosphatase	slr1124	-1.5982206679931277	-2.526461045773442
NC_000911.1	86159	87418	+	protein-coding	SGL_RS02250	slr1125	glycosyltransferase	slr1125	2.25329341251305	-0.3190086683946178
NC_000911.1	87536	87910	-	protein-coding	SGL_RS02255	sll1052	sulfite exporter TauE/SafE family protein	sll1052	-0.4005574255983705	-0.1335343819323594
NC_000911.1	88017	88661	-	protein-coding	SGL_RS02260	cpcF	[phycocyanin alpha-subunit]:phycocyanobilin lyase &beta; subunit	sll1051	2.522793692441079	-1.002742768194206
NC_000911.1	88818	90506	-	protein-coding	SGL_RS02265	sll1049	transglutaminase family protein	sll1049	-1.1183576605595171	-0.2807440009712933
NC_000911.1	89735	89820	+	non-coding	SLL1049-AS	sll1049-as	SLL1049-AS-RNA	sll1049-as	0.1926853293179395	0.2871232334793889
NC_000911.1	90737	91411	+	protein-coding	SGL_RS02270	slr1127	hypothetical protein	slr1127	0.3573254892088848	0.21788760412973565
NC_000911.1	90737	91411	+	protein-coding	SGL_RS02270	slr1127	hypothetical protein	slr1127	0.02373999064769158	0.1625929146081019
NC_000911.1	91517	92482	+	protein-coding	SGL_RS02275	slr1128	SPFH domain-containing protein	slr1128	0.5277069368966486	0.09889059850248406
NC_000911.1	92436	92533	-	non-coding	SLR1128-AS2	slr1128-as2	SLR1128-AS2-RNA	slr1128-as2	0.00462390343906631	0.14595561945913457
NC_000911.1	92438	92509	-	non-coding	SLR1128-AS	slr1128-as	SLR1128-AS-RNA	slr1128-as	-3.2195487903838544	-2.055834358610537
NC_000911.1	92545	92654	+	non-coding	NCR0020	ncr0020	NCR0020-RNA	ncr0020	-3.595852901713785	-0.8825320063358387
NC_000911.1	92938	93037	-	non-coding	NCL0020	ncl0020	NCL0020-RNA	ncl0020	-1.6515134856301328	-0.6817124920799852
NC_000911.1	93128	95152	+	protein-coding	SGL_RS02280	rne	ribonuclease E	slr1129	-3.704813134670613	-0.7733356820731051
NC_000911.1	95236	95808	+	protein-coding	SGL_RS02285	rnhB	ribonuclease HII	slr1130	-0.2274468389463197	-0.27336913249810924
NC_000911.1	95818	96228	-	protein-coding	SGL_RS02290	mutT	8-oxo-dGTP diphosphatase MutT	sll1045	-1.2639066504615848	0.16065685470460392
NC_000911.1	96325	98481	-	protein-coding	SGL_RS02295	pnp	polyribonucleotide nucleotidyltransferase	sll1043	-2.3615147226620823	-1.4279939921259257
NC_000911.1	98609	99199	-	protein-coding	SGL_RS02300	lepB1	leader peptidase I LepB1	sll0716	-1.0897114436428683	-1.1276380842075395
NC_000911.1	99402	100793	+	protein-coding	SGL_RS02305	maeB	NAD-dependent malic enzyme	slr0721	0.5721005106704063	-0.4699405217697909
NC_000911.1	99402	100793	+	protein-coding	SGL_RS02305	maeB	NAD-dependent malic enzyme	slr0721	0.7094201563584842	-0.11112300191010274
NC_000911.1	100756	100880	-	non-coding	SLR0721-AS	slr0721-as	SLR0721-AS-RNA	slr0721-as	-0.5960571345923464	0.1169131993362874
NC_000911.1	100794	101771	-	protein-coding	SGL_RS02310	cysM	cysteine synthase A	sll0712	-1.0681319836410128	-1.6628801980799797
NC_000911.1	100794	101771	-	protein-coding	SGL_RS02310	cysM	cysteine synthase A	sll0712	-0.16438670106608408	0.1034523746485708
NC_000911.1	101884	102831	-	protein-coding	SGL_RS02315	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	sll0711	-1.4294864681104449	-4.795131764995177
NC_000911.1	101884	102831	-	protein-coding	SGL_RS02315	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	sll0711	-1.0878032901349317	-5.1459767758654165
NC_000911.1	102930	105110	-	protein-coding	SGL_RS02320	sll0710	hypothetical protein	sll0710	-0.05838092185847992	-0.09385640639170414
NC_000911.1	104817	104850	+	non-coding	SLL0710-AS	sll0710-as	SLL0710-AS-RNA	sll0710-as	0.1014705602052024	0.34392456936349997
NC_000911.1	105151	106464	-	protein-coding	SGL_RS02325	sll0709	McrB family protein	sll0709	-0.2019554796098956	-0.5762275243935826
NC_000911.1	106735	106787	+	non-coding	NCR0030	ncr0030	NCR0030-RNA	ncr0030	0.6762114233345979	-0.496747487060981
NC_000911.1	107188	107251	+	non-coding	NCR0040	ncr0040	NCR0040-RNA	ncr0040	0.15073303074651687	0.25920806241183186
NC_000911.1	107471	108325	-	protein-coding	SGL_RS02330	rsmA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	sll0708	0.05449653172601817	-0.3214354180108701
NC_000911.1	107471	108325	-	protein-coding	SGL_RS02330	rsmA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	sll0708	0.33642946503380367	0.0012132700765344
NC_000911.1	108290	109201	+	protein-coding	SGL_RS02335	slr0722	16S rRNA (uracil(1498)-N(3))-methyltransferase	slr0722	-1.5739060709658177	-2.406111903972071
NC_000911.1	109222	110313	+	protein-coding	SGL_RS02340	slr0723	hypothetical protein	slr0723	-1.1806531564602816	-1.7746528497396006
NC_000911.1	110392	110724	+	protein-coding	SGL_RS02345	slr0724	type II toxin-antitoxin system PrlF family antitoxin	slr0724	1.483438551227009	-1.2172391840564682
NC_000911.1	110808	111224	+	protein-coding	SGL_RS02350	slr0725	type II toxin-antitoxin system YhaV family toxin	slr0725	0.11098395060888788	-0.1419551569770408
NC_000911.1	111588	112559	+	protein-coding	SGL_RS02355	slr0727	hypothetical protein	slr0727	0.14141469061373255	0.15447993278113464
NC_000911.1	112483	112551	-	non-coding	SLR0727-AS	slr0727-as	SLR0727-AS-RNA	slr0727-as	0.4233080030026654	-0.00559909580463287
NC_000911.1	112840	112900	+	non-coding	NCR0050	ncr0050	NCR0050-RNA	ncr0050	-2.8551719636240023	-5.202109852200605
NC_000911.1	112860	114188	+	protein-coding	SGL_RS02360	slr0728	O-antigen ligase	slr0728	-1.3478705922776002	-2.4200195760509526
NC_000911.1	114319	114624	+	protein-coding	SGL_RS02365	slr0729	DUF3181 family protein	slr0729	-1.2074078791563556	-3.2002342169760585
NC_000911.1	114874	115272	+	protein-coding	SGL_RS02370	slr0730	DUF3119 family protein	slr0730	0.0065507383850168	-0.3357831663268413
NC_000911.1	115269	116477	+	protein-coding	SGL_RS02375	slr0731	DUF3086 domain-containing protein	slr0731	-2.000699544705275	-1.0485371314986436
NC_000911.1	116518	117693	-	protein-coding	SGL_RS02380	sll0704	cysteine desulfurase	sll0704	-0.5081900022909989	-0.08266882971725249
NC_000911.1	117869	118336	+	protein-coding	SGL_RS02385	slr0732	phosphate-starvation-inducible PsiE family protein	slr0732	-0.15288316155543671	0.1544921213849625
NC_000911.1	118333	119532	-	protein-coding	SGL_RS02390	sll0703	NAD(P)/FAD-dependent oxidoreductase	sll0703	-1.6384789606174222	-1.2485876965131306
NC_000911.1	119570	119962	-	protein-coding	SGL_RS02395	sll0702	hypothetical protein	sll0702	0.3001861530438281	0.01329762911435337
NC_000911.1	120557	120640	+	non-coding	NCR0060	ncr0060	NCR0060-RNA	ncr0060	0.8603485832622106	-0.8030540543200059
NC_000911.1	120719	121660	+	protein-coding	SGL_RS02405	slr0733	tyrosine-type recombinase/integrase	slr0733	0.05416091404993052	-0.148111647169494
NC_000911.1	121706	121963	-	protein-coding	SGL_RS02410	ssl1326	ribbon-helix-helix protein, CopG family	ssl1326	0.39988893215436105	0.15726500412910466
NC_000911.1	122287	123405	+	protein-coding	SGL_RS02415	slr0734	FAD-dependent oxidoreductase	slr0734	-1.197094101230767	-2.749955638395308
NC_000911.1	124452	126443	-	protein-coding	SGL_RS02430	nblS	histidine kinase NblS	sll0698	0.03188395419506956	-0.2062607669817237
NC_000911.1	126639	127064	+	protein-coding	SGL_RS02435	psaD	photosystem I reaction center subunit II	slr0737	-1.3811369705645011	-2.3968635798357805
NC_000911.1	127186	128712	+	protein-coding	SGL_RS02440	trpE	anthranilate synthase component I	slr0738	-2.6595055619251067	-3.692633639329902
NC_000911.1	128802	129710	+	protein-coding	SGL_RS02445	crtE	geranylgeranyl diphosphate synthase	slr0739	-2.6009758035906927	-4.474530568376422
NC_000911.1	129791	130186	+	protein-coding	SGL_RS02450	slr0740	hypothetical protein	slr0740	0.5343912721749537	-0.33363898353818766
NC_000911.1	130042	130126	-	non-coding	SLR0740-AS	slr0740-as	SLR0740-AS-RNA	slr0740-as	-0.5846762520918427	0.14964439354414102
NC_000911.1	130167	131039	-	protein-coding	SGL_RS02455	sll0696	CPBP family intramembrane metalloprotease	sll0696	-2.3422948556761503	-2.6936933629384856
NC_000911.1	130861	130953	+	non-coding	SLL0696-AS	sll0696-as	SLL0696-AS-RNA	sll0696-as	-0.15840733248478164	-0.557621652801464
NC_000911.1	131116	131790	+	protein-coding	SGL_RS02460	sphU	phosphate signaling complex protein SphU	slr0741	-0.7482921253389258	-1.0369551665401195
NC_000911.1	131952	132407	+	protein-coding	SGL_RS02465	rimP	ribosome maturation factor RimP	slr0742	-1.3083883197918305	-1.1428060700950375
NC_000911.1	132371	132488	-	non-coding	SLR0742-AS	slr0742-as	SLR0742-AS-RNA	slr0742-as	0.39224041062038617	-0.01072102556232823
NC_000911.1	132483	133859	+	protein-coding	SGL_RS02470	nusA	transcription termination factor NusA	slr0743	-0.7149139985247539	-0.8189039891119839
NC_000911.1	133591	133632	-	non-coding	SLR0743-AS	slr0743-as	SLR0743-AS-RNA	slr0743-as	-0.15216331924432214	0.26475290434603993
NC_000911.1	134437	137442	+	protein-coding	SGL_RS02480	infB	translation initiation factor IF-2	slr0744	-3.1823181304907235	-2.793828477425071
NC_000911.1	135404	135468	-	non-coding	SLR0744-AS	slr0744-as	SLR0744-AS-RNA	slr0744-as	-1.4195722507632835	-1.1332134484757834
NC_000911.1	136748	136919	-	non-coding	SLR0744-AS2	infB	infB	slr0744-as2	1.216596680214641	-0.5743874977558856
NC_000911.1	137444	138112	+	protein-coding	SGL_RS02485	slr0236	glutathione <i>S</i>-transferase	slr0236	-1.7716252689273595	-1.343490662280669
NC_000911.1	138295	140535	+	protein-coding	SGL_RS02490	glgX2	glycogen debranching protein GlgX	slr0237	-0.8186846853032547	-0.9787480787637316
NC_000911.1	139336	139375	-	non-coding	SLR0237-AS	slr0237-as	SLR0237-AS-RNA	slr0237-as	0.42134660776237814	0.10856855534753591
NC_000911.1	140585	141007	+	protein-coding	SGL_RS02495	slr0238	hypothetical protein	slr0238	-0.01727489474974062	0.15143266010704168
NC_000911.1	141123	141428	-	protein-coding	SGL_RS02500	ssl0426	transposase (inactive)	ssl0426	-0.06760258952070199	0.14506124439888088
NC_000911.1	141648	142442	+	protein-coding	SGL_RS02505	cobM/cbiF	precorrin-4 C(11)-methyltransferase	slr0239	-1.3349930105641914	-2.325898651832112
NC_000911.1	142559	142981	+	protein-coding	SGL_RS02510	slr0240	BlaI/MecI/CopY family transcriptional regulator	slr0240	-1.747135590352731	0.02948938619982443
NC_000911.1	142981	143826	+	protein-coding	SGL_RS02515	slr0241	M56 family metallopeptidase	slr0241	1.2273160352490249	-0.5336964737009066
NC_000911.1	143881	143959	+	non-coding	NCR0070	ncr0070	NCR0070-RNA	ncr0070	-3.424058676761198	-2.422579450947003
NC_000911.1	144061	144543	+	protein-coding	SGL_RS02520	prxQ1	Q-type peroxiredoxin 1	slr0242	-2.404025254120334	-0.04936933003923877
NC_000911.1	144554	145081	+	protein-coding	SGL_RS02525	slr0243	hypothetical protein	slr0243	-1.797312577893296	0.04970606323276037
NC_000911.1	145164	145529	-	protein-coding	SGL_RS02530	sll0230	MTH1187 family thiamine-binding protein	sll0230	0.21128908867617777	-0.03949353392113988
NC_000911.1	145698	145766	-	non-coding	SLR0244-AS	slr0244-as	SLR0244-AS-RNA	slr0244-as	-0.04827157203326721	0.16452578108666543
NC_000911.1	145761	146615	+	protein-coding	SGL_RS02540	slr0244	universal stress protein	slr0244	0.3320131719568564	0.3211581266466122
NC_000911.1	146724	146831	-	protein-coding	SGL_RS18650	psbM	photosystem II reaction center protein M	sml0003	0.8513232495283966	-0.27341756563243047
NC_000911.1	146724	146831	-	protein-coding	SGL_RS18650	psbM	photosystem II reaction center protein M	sml0003	0.9441364481021228	-0.3813339619112673
NC_000911.1	146980	147894	+	protein-coding	SGL_RS02545	slr0245	histone deacetylase	slr0245	-0.16402739092969548	0.05442735644522802
NC_000911.1	148022	148942	-	protein-coding	SGL_RS02550	sll0228	<em>N</em><small><sup>1</sup></small>-aminopropylagmatine ureohydrolase	sll0228	0.03101439331692333	0.19504507746156036
NC_000911.1	148022	148942	-	protein-coding	SGL_RS02550	sll0228	<em>N</em><small><sup>1</sup></small>-aminopropylagmatine ureohydrolase	sll0228	0.04920766131727829	0.03729068415831997
NC_000911.1	148943	149683	-	protein-coding	SGL_RS02555	ppiB	peptidylprolyl isomerase	sll0227	-1.2052008279641464	-1.625532469119221
NC_000911.1	149521	149615	+	non-coding	SLL0227-AS	sll0227-as	SLL0227-AS-RNA	sll0227-as	-0.13083246896047074	-1.0242715287152226
NC_000911.1	149889	150455	-	protein-coding	SGL_RS02560	ycf4	photosystem I assembly protein Ycf4	sll0226	-0.710272174015966	-4.079260273041341
NC_000911.1	150533	150681	+	non-coding	SLL0225-AS	sll0225-as	SLL0225-AS-RNA	sll0225-as	0.1064909090971876	0.13235171668457313
NC_000911.1	150594	152072	-	protein-coding	SGL_RS02565	sll0225	GH3 auxin-responsive promoter family protein	sll0225	0.4351412050360549	0.11763413607206066
NC_000911.1	152154	153050	-	protein-coding	SGL_RS02570	sll0224	amino acid ABC transporter substrate-binding protein	sll0224	1.220536109495601	0.08250071945450241
NC_000911.1	152682	152769	+	non-coding	SLL0224-AS	sll0224-as	SLL0224-AS-RNA	sll0224-as	0.5437667403848586	0.04078901169846273
